"AQUAVO — التسعير النهائي 2026 | شحن هجين (70%كمية+30%وزن) | 1$=1,520د",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
16,High energy culture bricks,فلتر,5,0.83,1262,3345,0,4607,7600,0.39381578947368423,2993,14965,31.3,27.5,8,600
17,3D filter material,فلتر,6,1.67,2538,3514,0,6052,11050,0.4523076923076923,4998,29988,32.8,29.1,11,50
18,16-in-1 filter material 2.5kg,فلتر,5,2.61,3961,5207,0,9168,15350,0.40273615635179155,6182,30910,28.9,24.9,15,350
19,Six-in-one filter material 500g,فلتر,5,0.97,1477,3523,0,5000,9050,0.44751381215469616,4050,20250,30.2,26.3,9,50
20,3W oil film processor,فلتر,4,2.61,3967,3168,0,7135,11850,0.3978902953586498,4715,18860,30.4,26.5,11,850
21,Yee three-color adjustable 3.5W double-row,إكسسوار,4,0,0,3230,0,3230,10850,0.7023041474654378,7620,30480,30.4,26.6,5,950
22,"Aquarium magnetic cleaning brush, large si",حوض,3,0,0,3700,0,3700,10650,0.6525821596244131,6950,20850,26.1,22,6,700
23,1.0 meter of 16mm reinforced plastic tubin,,,,,,,,,,,,,,,
24,400x230x250mm 5mm thick,حوض,2,6.28,9548,8132,6188,23868,37688,0.36669496922097217,13820,27640,22.2,17.9,30,550
25,500x270x300mm 5mm thick,حوض,2,9.73,14793,12565,8214,35572,54464,0.34687132784958874,18892,37784,22,17.7,46,250
26,600x300x350mm 5mm thick,حوض,2,12.52,19032,16288,7351,42671,65931,0.35279307154449346,23260,46520,21.5,17.2,58,850
27,35×35×35 6mm thick,حوض,2,8.59,13059,13097,5044,31200,48444,0.3559573941045331,17244,34488,21.4,17,43,400
28,40X40X40cm 6mm thick,حوض,2,11.55,17555,16022,6781,40358,55550,0.2734833483348335,15192,30384,21.2,16.9,55,550
29,60*40*40cm 8mm,حوض,2,18.17,27617,20632,10667,58916,91767,0.3579827170987392,32851,65702,22,17.6,81,100
30,Bare side stream tank 60*15*15cm 6mm water,حوض,2,17.3,26290,7902,5155,39347,75705,0.4802588996763754,36358,72716,22.1,17.8,61,550
31,Yee Small Fish Feed All-in-One 0.6mm 75g,غذاء,25,0.63,958,1648,0,2606,8300,0.6860240963855422,5694,142350,58,55.7,8,300
32,Goldfish Orchid Longevity Jade Fungus + Sp,غذاء,15,1.8,2736,2087,0,4823,12550,0.6156972111553785,7727,115905,53.7,51.1,12,550
33,Betta fish food 0.8mm 130g New,غذاء,20,0.97,1474,1729,0,3203,8900,0.6401123595505618,5697,113940,53.8,51.2,8,900
34,Imitation red worm feed 0.5mm 115g,غذاء,30,1.35,2052,1713,0,3765,10450,0.6397129186602871,6685,200550,55,52.5,10,450
35,Floating Grain - Competition Grade 45% Hig,غذاء,5,0.86,1307,2087,0,3394,10100,0.663960396039604,6706,33530,57.3,54.9,10,100
36,【40% High Protein】Special Food for Ornamen,غذاء,6,1.7,2584,1583,0,4167,10850,0.6159447004608295,6683,40098,52.8,50.1,10,850
37,New Shelled Eggs (80g 150ml) White Bottle ,غذاء,10,1.65,2508,1697,0,4205,11900,0.6466386554621849,7695,76950,56.6,54.2,11,900
38,Yee Aqua-Hermit Crab Freeze-Dried Feast 55,غذاء,3,1.27,1930,1664,0,3594,10300,0.6510679611650485,6706,20118,56.1,53.6,10,300
39,Fish feed with coated paper hanger,غذاء,15,0,0,1583,0,1583,5300,0.7013207547169812,3717,55755,54.6,52.1,5,300
40,【All-in-one】Microparticles/0.2mm/210g,غذاء,10,1.04,1581,1859,0,3440,10150,0.6610837438423646,6710,67100,57,54.6,10,150
41,"Ranchu goldfish formulated feed, 1.5mm dia",غذاء,12,1.69,2569,2087,0,4656,12350,0.622995951417004,7694,92328,54.3,51.8,12,350
42,Yee Aquarium Freeze-dried Brine Shrimp Chu,غذاء,8,0.9,1368,1583,0,2951,8650,0.6588439306358381,5699,45592,55.5,53.1,8,650
43,Yee Brand 3-in-1 Betta Fish Food 15g,غذاء,10,0.48,730,1551,0,2281,5950,0.6166386554621849,3669,36690,54.8,52.3,6,950
44,White Spot Cleaner 300ml,علاج,10,0.72,1092,2054,0,3146,12850,0.7551750972762646,9704,97040,68.5,66.7,12,850
45,Methylene blue solution 600ml,علاج,8,0.93,1414,2590,0,4004,17050,0.7651612903225806,13046,104368,69.1,67.4,17,50
46,Bactericidal/antibacterial/instant powder ,علاج,6,1.13,1718,1583,0,3301,14050,0.7650533807829182,10749,64494,70,68.3,14,50
47,Yee Aquarium Cleansing Ammonia Series Acti760G,كيماوي,10,2.34,3557,2899,0,6456,16450,0.6075379939209726,9994,99940,55,52.5,17,450
48,Yee Aquarium Cleansing Ammonia Series Acti400G,كيماوي,5,1.38,2098,2363,0,4461,12450,0.6416867469879518,7989,39945,53.8,51.2,12,450
49,Yee Blue Classic-Chlorine Removal Water St,كيماوي,15,0.72,1094,2493,0,3587,6600,0.45651515151515154,3013,45195,54.4,51.9,10,600
50,Anti-stress water stabilizer 500ml New sty,كيماوي,8,0.92,1392,2477,0,3869,10850,0.643410138248848,6981,55848,52.7,50.1,10,850
51,【Ammonia nitrogen tester】can test about 60,اختبار,8,2.87,4362,2330,0,6692,15770,0.5756499682942295,9078,72624,58.9,56.6,19,700
52,【Nitrite test kit】can test about 100 times,اختبار,8,2.87,4362,2330,0,6692,17700,0.6219209039548023,11008,88064,58.9,56.6,19,700
53,[Novice Level 50] 9-in-1/Bucket/With Compa,اختبار,10,1.62,2462.4,1632,0,4094.4,10290,0.6020991253644316,6195.6,61956,61.3,59.1,6,350
54,Yee Aquarium Nitrifying Bacteria + Probiot 50,كيماوي,12,0.85,1292,1599,0,2891,8600,0.6638372093023256,5709,68508,56,53.6,8,600
55,Yee Aquarium Nitrifying Bacteria + Probiot 100,كيماوي,8,1.27,1930,1648,0,3578,12300,0.7091056910569106,8722,69776,56.2,53.8,10,300
56,Algaecide 500ml New Style,كيماوي,10,0.92,1392,2412,0,3804,10800,0.6477777777777778,6996,69960,53.1,50.5,10,800
57,Anti-stress water stabilizer 1000ml New st,كيماوي,6,1.13,1713,2574,0,4287,12300,0.6514634146341464,8013,48078,54.7,52.2,12,300
58,Multivitamin mineral salt 500g,فيتامين,10,0.2,304,2347,0,2651,8650,0.6935260115606936,5999,59990,63.9,61.9,10,650
59,500G Multivitamin Salt Box YAN-915,فيتامين,5,0.87,1322,2428,0,3750,8750,0.5714285714285714,5000,25000,63.6,61.6,13,750
60,Yee Blue Classic-Methylene Blue Solution 2,علاج,10,0.45,684,1859,0,2543,11250,0.7739555555555555,8707,87070,69.6,67.9,11,250
61,【Refill】9 in 1/Refill/50 pieces,اختبار,10,1.06,1611,1551,0,3162,7850,0.5971974522292993,4688,46880,58.7,56.4,9,850
62,Water grass mud fertility upgrade fine gra 1.5K,كيماوي,18,1.23,1870,4020,0,5890,7650,0.23006535947712417,1760,31680,54.4,51.8,15,900
63,Water grass mud fertility upgrade coarse g 3K,حوض,10,2.39,3633,6441,0,10074,12300,0.18097560975609756,2226,22260,22.4,18.1,15,300
64,Fish tank descaling agent 200ml,حوض,10,0.76,1156,1906,0,3062,5750,0.46747826086956523,2688,26880,31.1,27.2,5,750
65,External electronic thermometer,إكسسوار,2,1.1,1672,1534,0,3206,5900,0.45661016949152544,2694,5388,30.3,26.4,5,900
66,Cherlam slow-sinking fish food 1.5mm (130g,غذاء,2,0,0,1794,0,1794,6450,0.7218604651162791,4656,9312,59.2,57,6,450
الإجماليات,,,,,,,,,,6412350,49,,3253191,,,
