رقم المنتج,الاسم (صيني),الاسم (إنجليزي),الكمية,سعر الشراء ($),حجم الصندوق,تكلفة التغليف (دينار),التكلفة الكلية واصل مغلف (دينار),سعر البيع القديم (دينار),سعر البيع الجديد (دينار),الربح الصافي للقطعة (دينار),ملاحظة التعديل
33,Yee斗鱼配合饲料0.8mm130g新更换条码,Betta fish food 0.8mm 130g New,20,0.97,S,1185,3088,6000,6000,2912,✅ بدون تغيير
34,仿红虫0.5mm115gLLG,Imitation red worm feed 0.5mm 115g,30,1.35,S,1185,3833,7500,7500,3667,✅ بدون تغيير
35,Yee蝴蝶鲤配合饲料1.5mm300g袋装,Floating Grain High Protein 300g Bag,5,0.86,S,1185,2873,6000,6000,3127,✅ بدون تغيير
36,Yee水族观赏虾专用粮260g,Special Food for Ornamental Shrimp 260g,6,1.70,S,1185,4519,9000,12000,7481,🔼 رفع - طعام متخصص قيمته عالية
37,新款脱壳卵(80g150ml)白瓶+喂食器SJ,New Shelled Eggs (80g 150ml) White Bottle + Feeder,10,1.65,S,1185,4421,9000,12000,7579,🔼 رفع - منتج متخصص نادر في السوق
38,Yee水族-寄居蟹冻干盛宴55g55g,Yee Aqua-Hermit Crab Freeze-Dried Feast 55g,3,1.27,S,1185,3676,7500,7500,3824,✅ بدون تغيير
39,鱼粮连包铜版纸吊卡DJ,Fish feed with coated paper hanger,15,0.62,S,1185,2401,5000,5000,2599,✅ بدون تغيير
40,Yee小型鱼配合饲料全效合一0.2mm210g,【All-in-one】Microparticles/0.2mm/210g,10,1.04,S,1185,3225,6500,6500,3275,✅ بدون تغيير
41,金鱼兰寿配合饲料1.5mm下沉500g袋装,Ranchu goldfish formulated feed sinks 500g,12,1.69,M,1435,4749,9500,12500,7751,🔼 رفع - حجم كبير 500g
42,Yee水族冻干丰年虾块18g,Yee Aquarium Freeze-dried Brine Shrimp Chunks 18g,8,0.90,S,1185,2950,6000,6000,3050,✅ بدون تغيير
43,Yee意牌水族三合一斗鱼配合饲料15g,Yee Brand 3-in-1 Betta Fish Food 15g,10,0.48,S,1185,2126,4500,4500,2374,✅ بدون تغيير
44,白点净300ml,White Spot Cleaner 300ml,10,0.72,S,1185,2597,5000,10000,7403,🔼 رفع - السوق يبيع 15-35 ألف!
45,亚甲基蓝溶液 600ml,Methylene blue solution 600ml,8,0.93,M,1435,3259,6500,12000,8741,🔼 رفع - السوق يبيع 15-30 ألف!
46,yee观赏鱼药用黄粉,Bactericidal/antibacterial powder 2g/bag [1 box],6,1.13,S,1185,3401,7000,7000,3599,✅ بدون تغيير
47,Yee意牌水族净氨系列活性益生菌760ml,Yee Aquarium Ammonia Series Active Probiotics 760ml,10,2.34,M,1435,6024,12000,17500,11476,🔼 رفع - السوق يبيع 20-35 ألف
48,Yee意牌水族净氨系列活性益生菌400ml,Yee Aquarium Ammonia Series Active Probiotics 400ml,5,1.38,S,1185,3891,8000,8000,4109,✅ بدون تغيير
49,yee蓝色经典-除氯水质稳定剂535ml,Yee Blue Classic-Chlorine Removal Water Stabilizer 535ml,15,0.72,M,1435,2847,5500,5500,2653,✅ بدون تغيير
50,抗应激水质稳定剂 500ml  新风格,Anti-stress water stabilizer 500ml New style,8,0.92,S,1185,2990,6000,6000,3010,✅ بدون تغيير
51,【氨氮测试剂】可测约60次/精准快速,【Ammonia nitrogen tester】accurate and fast,8,2.87,M,1435,7064,14000,22000,14936,🔼 رفع - السوق يبيع 35 ألف+
52,【亚硝酸盐测试剂】可测约100次/精准快速,【Nitrite test kit】accurate and fast,8,2.87,M,1435,7064,14000,22000,14936,🔼 رفع - السوق يبيع 35 ألف+
53,YEE 意牌九合一水质检测试纸 英文版,9-in-1/Bucket/With Comparison Chart,10,1.62,S,1185,4362,8500,15000,10638,🔼 رفع - Ubuy يبيع 39 ألف!
54,Yee意牌水族硝化菌+益生菌胶囊50粒,Yee Aquarium Nitrifying Bacteria + Probiotics 50 capsules,12,0.85,S,1185,2852,5500,5500,2648,✅ بدون تغيير
55,Yee意牌水族硝化菌+益生菌胶囊100粒,Yee Aquarium Nitrifying Bacteria + Probiotics 100 Capsules,8,1.27,S,1185,3676,7500,7500,3824,✅ بدون تغيير
56,除藻剂 500ml 新风格,Algaecide 500ml New Style,10,0.92,S,1185,2990,6000,6000,3010,✅ بدون تغيير
57,除藻去苔剂 600ml,Anti-stress water stabilizer 1000ml New style,6,1.13,M,1435,3651,7500,7500,3849,✅ بدون تغيير
58,多维矿物盐500克,Multivitamin mineral salt 500g,10,0.20,M,1435,1827,3500,3500,1673,✅ بدون تغيير
59,500G多维盐盒装YAN-915,500G Multivitamin Salt Box YAN-915,5,0.87,M,1435,3141,6500,6500,3359,✅ بدون تغيير
60,yee蓝色经典-亚甲基蓝溶液235ml,Yee Blue Classic-Methylene Blue Solution 235ml,10,0.45,S,1185,2068,4000,4000,1932,✅ بدون تغيير
61,YEE九合一水质检测试纸50条铝箔袋,【Refill】9 in 1/Refill/50 pieces,10,1.06,S,1185,3264,6500,10000,6736,🔼 رفع - قيمة عالية كإعادة تعبئة
62,YEE 水草泥净水版 2-3mm 1.5L,Water grass mud fertility upgrade fine grain 1.5L,18,1.23,M,1435,3847,7500,7500,3653,✅ بدون تغيير
63,YEE 亚马逊水草泥 净水版 2-5mm 3L  QBC,Water grass mud fertility upgrade coarse grain 3L,10,2.39,M,1435,6122,12000,15000,8878,🔼 رفع - حجم كبير 3 لتر
64,鱼缸除垢剂  200ml,Fish tank descaling agent 200ml,10,0.76,S,1185,2676,5500,5500,2824,✅ بدون تغيير
65,液晶温度计（报警板）,External electronic thermometer,4,1.10,S,1185,3343,6500,6500,3157,✅ بدون تغيير
66,Cherlam鱼粮缓沉1.5mm（130g）QC DJ,Cherlam slow-sinking fish food 1.5mm (130g) QC DJ,2,0.17,S,1185,1518,3000,3000,1482,✅ بدون تغيير
