number,image_file,sheet,from_cell,to_cell,from_row,from_col,to_row,to_col,drawing,source_media,picture_name,description,anchor_row_text,nearby_row_text
14,images/014_total_B25_image14.png,total,B25,B25,25,2,25,2,xl/drawings/drawing1.xml,xl/media/image14.png,ID_A3C4D6D8339147CCBF4BEE3FB7854DBA,,Row 25: A=16 | C=17699a | D=YAA-009. | E=高能量培菌砖 | F=High energy culture bricks | G=0.83 | H=5 | I=4.1500000000000004,Row 24: A=15 | C=07116 | D=YFF-042 | E=纳米培养环混合装 | F=Nano Culture Ring Mixed Pack | G=1.31 | H=8 | I=10.48 ; Row 25: A=16 | C=17699a | D=YAA-009. | E=高能量培菌砖 | F=High energy culture bricks | G=0.83 | H=5 | I=4.1500000000000004 ; Row 26: A=17 | C=11578 | D=NYH-006 | E=Nepall 3D曲奇滤材 500g | F=3D filter material | G=1.67 | H=6 | I=10.02
15,images/015_total_B26_image15.png,total,B26,B26,26,2,26,2,xl/drawings/drawing1.xml,xl/media/image15.png,ID_025372E757484C4FB52D4FFB45CB4934,,Row 26: A=17 | C=11578 | D=NYH-006 | E=Nepall 3D曲奇滤材 500g | F=3D filter material | G=1.67 | H=6 | I=10.02,Row 25: A=16 | C=17699a | D=YAA-009. | E=高能量培菌砖 | F=High energy culture bricks | G=0.83 | H=5 | I=4.1500000000000004 ; Row 26: A=17 | C=11578 | D=NYH-006 | E=Nepall 3D曲奇滤材 500g | F=3D filter material | G=1.67 | H=6 | I=10.02 ; Row 27: A=18 | C=71934 | D=YLC-410 | E=十六合一滤材 2.5kg | F=16-in-1 filter material 2.5kg | G=2.6056338028169002 | H=5 | I=13.03
16,images/016_total_B27_image16.png,total,B27,B27,27,2,27,2,xl/drawings/drawing1.xml,xl/media/image16.png,ID_794267E443864AC5855C2B9D9A15100D,,Row 27: A=18 | C=71934 | D=YLC-410 | E=十六合一滤材 2.5kg | F=16-in-1 filter material 2.5kg | G=2.6056338028169002 | H=5 | I=13.03,Row 26: A=17 | C=11578 | D=NYH-006 | E=Nepall 3D曲奇滤材 500g | F=3D filter material | G=1.67 | H=6 | I=10.02 ; Row 27: A=18 | C=71934 | D=YLC-410 | E=十六合一滤材 2.5kg | F=16-in-1 filter material 2.5kg | G=2.6056338028169002 | H=5 | I=13.03 ; Row 28: A=19 | C=17831 | D=YLC-409 | E=六合一滤材 500g | F=Six-in-one filter material 500g | G=0.971830985915493 | H=5 | I=4.8600000000000003
17,images/017_total_B28_image17.png,total,B28,B28,28,2,28,2,xl/drawings/drawing1.xml,xl/media/image17.png,ID_470B0ED6DBAB4FA1A96522AF23897464,,Row 28: A=19 | C=17831 | D=YLC-409 | E=六合一滤材 500g | F=Six-in-one filter material 500g | G=0.971830985915493 | H=5 | I=4.8600000000000003,Row 27: A=18 | C=71934 | D=YLC-410 | E=十六合一滤材 2.5kg | F=16-in-1 filter material 2.5kg | G=2.6056338028169002 | H=5 | I=13.03 ; Row 28: A=19 | C=17831 | D=YLC-409 | E=六合一滤材 500g | F=Six-in-one filter material 500g | G=0.971830985915493 | H=5 | I=4.8600000000000003 ; Row 29: A=20 | C=C4-1067-1 | D=C4-1067 | E=3W 油膜处理器 | F=3W oil film processor | G=2.61 | H=4 | I=10.44
18,images/018_total_B29_image18.png,total,B29,B29,29,2,29,2,xl/drawings/drawing1.xml,xl/media/image18.png,ID_8A95FA0E58214160A0D4C97D1B3DD5EC,,Row 29: A=20 | C=C4-1067-1 | D=C4-1067 | E=3W 油膜处理器 | F=3W oil film processor | G=2.61 | H=4 | I=10.44,"Row 28: A=19 | C=17831 | D=YLC-409 | E=六合一滤材 500g | F=Six-in-one filter material 500g | G=0.971830985915493 | H=5 | I=4.8600000000000003 ; Row 29: A=20 | C=C4-1067-1 | D=C4-1067 | E=3W 油膜处理器 | F=3W oil film processor | G=2.61 | H=4 | I=10.44 ; Row 30: A=21 | C=08116 | D=LED-318 | E=yee三色可调 3.5W 双排广角灯27cm | F=Yee three-color adjustable 3.5W double-row wide-angle light, 27cm | G=0 | H=4 | I=0 | J=Free gift"
19,images/019_total_B30_image19.png,total,B30,B30,30,2,30,2,xl/drawings/drawing1.xml,xl/media/image19.png,ID_AEB6BE9CF3A04107BD1D80F92827EBD9,,"Row 30: A=21 | C=08116 | D=LED-318 | E=yee三色可调 3.5W 双排广角灯27cm | F=Yee three-color adjustable 3.5W double-row wide-angle light, 27cm | G=0 | H=4 | I=0 | J=Free gift","Row 29: A=20 | C=C4-1067-1 | D=C4-1067 | E=3W 油膜处理器 | F=3W oil film processor | G=2.61 | H=4 | I=10.44 ; Row 30: A=21 | C=08116 | D=LED-318 | E=yee三色可调 3.5W 双排广角灯27cm | F=Yee three-color adjustable 3.5W double-row wide-angle light, 27cm | G=0 | H=4 | I=0 | J=Free gift ; Row 31: A=22 | C=07140 | D=CLS-107 | E=鱼缸磁力刷 大号 蓝色强磁 | F=Aquarium magnetic cleaning brush, large size, blue, strong magnet. | G=0 | H=3 | I=0 | J=Free gift"
20,images/020_total_B31_image20.png,total,B31,B31,31,2,31,2,xl/drawings/drawing1.xml,xl/media/image20.png,ID_18B996C3883041D7840AF27AE3A6FA9C,,"Row 31: A=22 | C=07140 | D=CLS-107 | E=鱼缸磁力刷 大号 蓝色强磁 | F=Aquarium magnetic cleaning brush, large size, blue, strong magnet. | G=0 | H=3 | I=0 | J=Free gift","Row 30: A=21 | C=08116 | D=LED-318 | E=yee三色可调 3.5W 双排广角灯27cm | F=Yee three-color adjustable 3.5W double-row wide-angle light, 27cm | G=0 | H=4 | I=0 | J=Free gift ; Row 31: A=22 | C=07140 | D=CLS-107 | E=鱼缸磁力刷 大号 蓝色强磁 | F=Aquarium magnetic cleaning brush, large size, blue, strong magnet. | G=0 | H=3 | I=0 | J=Free gift ; Row 32: A=23 | C=1.15.60 | D=YEE-3656 | E=16mm牛筋管1.0米 | F=1.0 meter of 16mm reinforced plastic tubing | G=0 | H=5 | I=0 | J=Free gift"
21,images/021_total_B32_image21.png,total,B32,B32,32,2,32,2,xl/drawings/drawing1.xml,xl/media/image21.png,ID_176ADFC8856643AE98F2813572C8DA03,,Row 32: A=23 | C=1.15.60 | D=YEE-3656 | E=16mm牛筋管1.0米 | F=1.0 meter of 16mm reinforced plastic tubing | G=0 | H=5 | I=0 | J=Free gift,"Row 31: A=22 | C=07140 | D=CLS-107 | E=鱼缸磁力刷 大号 蓝色强磁 | F=Aquarium magnetic cleaning brush, large size, blue, strong magnet. | G=0 | H=3 | I=0 | J=Free gift ; Row 32: A=23 | C=1.15.60 | D=YEE-3656 | E=16mm牛筋管1.0米 | F=1.0 meter of 16mm reinforced plastic tubing | G=0 | H=5 | I=0 | J=Free gift ; Row 33: A=24 | C=06255 | D=YXL-003 | E=400x230x250mm 5mm厚 | F=400x230x250mm 5mm thick | G=6.28169014084507 | H=2 | I=12.563380281690099 | J=打木箱，大小号嵌套，内部塞其它产品"
22,images/022_total_B35_image22.jpeg,total,B35,B37,35,2,37,2,xl/drawings/drawing1.xml,xl/media/image22.jpeg,ID_29C19EA4841240CEA8C6A57D44FD93D3,,Row 35: A=26 | C=05381 | D=YKK-60 | E=600x300x350mm 5mm厚 | F=600x300x350mm 5mm thick | G=12.5211267605634 | H=2 | I=25.042253521126799,Row 34: A=25 | C=05380 | D=YKK-50 | E=500x270x300mm 5mm厚 | F=500x270x300mm 5mm thick | G=9.7323943661971803 | H=2 | I=19.4647887323944 ; Row 35: A=26 | C=05381 | D=YKK-60 | E=600x300x350mm 5mm厚 | F=600x300x350mm 5mm thick | G=12.5211267605634 | H=2 | I=25.042253521126799 ; Row 36: A=27 | C=16932 | D=YEE-1090 | E=35×35×35 6mm 厚 | F=35×35×35 6mm thick | G=8.5915492957746498 | H=2 | I=17.1830985915493 | J=打木箱，大小号嵌套，内部塞其它产品
23,images/023_total_B39_image23.jpeg,total,B39,B39,39,2,39,2,xl/drawings/drawing1.xml,xl/media/image23.jpeg,ID_96661301B8374C9B808869C8DBF5B11F,,Row 39: A=30 | C=C5-1123-2 | D=C5-1123 | E=裸缸侧虑溪流缸60*15*15cm 6mm送水泵 | F=Bare side stream tank 60*15*15cm 6mm water pump | G=17.295774647887299 | H=2 | I=34.591549295774598 | J=打木箱，内部塞其它产品,Row 38: A=29 | C=C5-1062-1 | D=C5-1062 | E=60*40*40cm 8mm | F=60*40*40cm 8mm | G=18.169014084507001 | H=2 | I=36.338028169014002 | J=打木箱，内部塞其它产品 ; Row 39: A=30 | C=C5-1123-2 | D=C5-1123 | E=裸缸侧虑溪流缸60*15*15cm 6mm送水泵 | F=Bare side stream tank 60*15*15cm 6mm water pump | G=17.295774647887299 | H=2 | I=34.591549295774598 | J=打木箱，内部塞其它产品 ; Row 40: A=Products price | I=440.68507042253498
24,images/024_total_B44_image24.png,total,B44,B44,44,2,44,2,xl/drawings/drawing1.xml,xl/media/image24.png,ID_A3A5D4C7C0FA480285FA67C683306AAB,,Row 44: A=1 | C=C1-1113-2 | D=C1-1113 | E=Yee小型鱼配合饲料全效合一0.6mm75g | F=Yee Small Fish Feed All-in-One 0.6mm 75g | G=0.63 | H=25 | I=15.75,Row 43: A=ORDER 2 （sensitive goods）敏货 ; Row 44: A=1 | C=C1-1113-2 | D=C1-1113 | E=Yee小型鱼配合饲料全效合一0.6mm75g | F=Yee Small Fish Feed All-in-One 0.6mm 75g | G=0.63 | H=25 | I=15.75 ; Row 45: A=2 | C=C1-1127-1 | D=C1-1127 | E=金鱼兰寿善玉菌+螺旋藻色扬配合饲料290g缓沉3.0mm | F=Goldfish Orchid Longevity Jade Fungus + Spirulina Color Yang Compound Feed 290g Slow Sinking 3.0mm | G=1.8 | H=15 | I=27
25,images/025_total_B45_image25.png,total,B45,B45,45,2,45,2,xl/drawings/drawing1.xml,xl/media/image25.png,ID_77FD2E451D9943B3A02749B3367E0078,,Row 45: A=2 | C=C1-1127-1 | D=C1-1127 | E=金鱼兰寿善玉菌+螺旋藻色扬配合饲料290g缓沉3.0mm | F=Goldfish Orchid Longevity Jade Fungus + Spirulina Color Yang Compound Feed 290g Slow Sinking 3.0mm | G=1.8 | H=15 | I=27,Row 44: A=1 | C=C1-1113-2 | D=C1-1113 | E=Yee小型鱼配合饲料全效合一0.6mm75g | F=Yee Small Fish Feed All-in-One 0.6mm 75g | G=0.63 | H=25 | I=15.75 ; Row 45: A=2 | C=C1-1127-1 | D=C1-1127 | E=金鱼兰寿善玉菌+螺旋藻色扬配合饲料290g缓沉3.0mm | F=Goldfish Orchid Longevity Jade Fungus + Spirulina Color Yang Compound Feed 290g Slow Sinking 3.0mm | G=1.8 | H=15 | I=27 ; Row 46: A=3 | C=C1-1073-1a | D=C1-1073 | E=Yee斗鱼配合饲料0.8mm130g新更换条码 | F=Betta fish food 0.8mm 130g New | G=0.97 | H=20 | I=19.399999999999999
26,images/026_total_B46_image26.jpeg,total,B46,B46,46,2,46,2,xl/drawings/drawing1.xml,xl/media/image26.jpeg,ID_F6BC02C6514E4D059933F55F775B721C,post_object_image_329474928,Row 46: A=3 | C=C1-1073-1a | D=C1-1073 | E=Yee斗鱼配合饲料0.8mm130g新更换条码 | F=Betta fish food 0.8mm 130g New | G=0.97 | H=20 | I=19.399999999999999,Row 45: A=2 | C=C1-1127-1 | D=C1-1127 | E=金鱼兰寿善玉菌+螺旋藻色扬配合饲料290g缓沉3.0mm | F=Goldfish Orchid Longevity Jade Fungus + Spirulina Color Yang Compound Feed 290g Slow Sinking 3.0mm | G=1.8 | H=15 | I=27 ; Row 46: A=3 | C=C1-1073-1a | D=C1-1073 | E=Yee斗鱼配合饲料0.8mm130g新更换条码 | F=Betta fish food 0.8mm 130g New | G=0.97 | H=20 | I=19.399999999999999 ; Row 47: A=4 | C=C1-1082-5 | D=C1-1082 | E=仿红虫0.5mm115gLLG | F=Imitation red worm feed 0.5mm 115g | G=1.35 | H=30 | I=40.5
27,images/027_total_B47_image27.png,total,B47,B47,47,2,47,2,xl/drawings/drawing1.xml,xl/media/image27.png,ID_E574962951164B2CA1D6D0B7EC60D7E6,,Row 47: A=4 | C=C1-1082-5 | D=C1-1082 | E=仿红虫0.5mm115gLLG | F=Imitation red worm feed 0.5mm 115g | G=1.35 | H=30 | I=40.5,Row 46: A=3 | C=C1-1073-1a | D=C1-1073 | E=Yee斗鱼配合饲料0.8mm130g新更换条码 | F=Betta fish food 0.8mm 130g New | G=0.97 | H=20 | I=19.399999999999999 ; Row 47: A=4 | C=C1-1082-5 | D=C1-1082 | E=仿红虫0.5mm115gLLG | F=Imitation red worm feed 0.5mm 115g | G=1.35 | H=30 | I=40.5 ; Row 48: A=5 | C=C1-1065-1 | D=C1-1065 | E=Yee蝴蝶鲤配合饲料1.5mm300g袋装 | F=Floating Grain - Competition Grade 45% High Protein [1.5mm Small Particles] 300g Bag | G=0.86 | H=5 | I=4.3
28,images/028_total_B48_image28.png,total,B48,B48,48,2,48,2,xl/drawings/drawing1.xml,xl/media/image28.png,ID_816C6E04EA274BC185016E61E217C1C7,,Row 48: A=5 | C=C1-1065-1 | D=C1-1065 | E=Yee蝴蝶鲤配合饲料1.5mm300g袋装 | F=Floating Grain - Competition Grade 45% High Protein [1.5mm Small Particles] 300g Bag | G=0.86 | H=5 | I=4.3,Row 47: A=4 | C=C1-1082-5 | D=C1-1082 | E=仿红虫0.5mm115gLLG | F=Imitation red worm feed 0.5mm 115g | G=1.35 | H=30 | I=40.5 ; Row 48: A=5 | C=C1-1065-1 | D=C1-1065 | E=Yee蝴蝶鲤配合饲料1.5mm300g袋装 | F=Floating Grain - Competition Grade 45% High Protein [1.5mm Small Particles] 300g Bag | G=0.86 | H=5 | I=4.3 ; Row 49: A=6 | C=C1-1066-2 | D=C1-1066 | E=Yee水族观赏虾专用粮260g | F=【40% High Protein】Special Food for Ornamental Shrimp 260g | G=1.7 | H=6 | I=10.199999999999999
29,images/029_total_B49_image29.png,total,B49,B49,49,2,49,2,xl/drawings/drawing1.xml,xl/media/image29.png,ID_F520C5AD041A490DA63E231B61F7435A,upload_post_object_v2_1086344474,Row 49: A=6 | C=C1-1066-2 | D=C1-1066 | E=Yee水族观赏虾专用粮260g | F=【40% High Protein】Special Food for Ornamental Shrimp 260g | G=1.7 | H=6 | I=10.199999999999999,Row 48: A=5 | C=C1-1065-1 | D=C1-1065 | E=Yee蝴蝶鲤配合饲料1.5mm300g袋装 | F=Floating Grain - Competition Grade 45% High Protein [1.5mm Small Particles] 300g Bag | G=0.86 | H=5 | I=4.3 ; Row 49: A=6 | C=C1-1066-2 | D=C1-1066 | E=Yee水族观赏虾专用粮260g | F=【40% High Protein】Special Food for Ornamental Shrimp 260g | G=1.7 | H=6 | I=10.199999999999999 ; Row 50: A=7 | C=03446a | D=YYY-078 | E=新款脱壳卵(80g150ml)白瓶+喂食器SJ | F=New Shelled Eggs (80g 150ml) White Bottle + Feeder | G=1.65 | H=10 | I=16.5
30,images/030_total_B50_image30.png,total,B50,B50,50,2,50,2,xl/drawings/drawing1.xml,xl/media/image30.png,ID_92917348F09C43CEB24FFEB217F3901B,,Row 50: A=7 | C=03446a | D=YYY-078 | E=新款脱壳卵(80g150ml)白瓶+喂食器SJ | F=New Shelled Eggs (80g 150ml) White Bottle + Feeder | G=1.65 | H=10 | I=16.5,Row 49: A=6 | C=C1-1066-2 | D=C1-1066 | E=Yee水族观赏虾专用粮260g | F=【40% High Protein】Special Food for Ornamental Shrimp 260g | G=1.7 | H=6 | I=10.199999999999999 ; Row 50: A=7 | C=03446a | D=YYY-078 | E=新款脱壳卵(80g150ml)白瓶+喂食器SJ | F=New Shelled Eggs (80g 150ml) White Bottle + Feeder | G=1.65 | H=10 | I=16.5 ; Row 51: A=8 | C=C1-1125-1 | D=C1-1125 | E=Yee水族-寄居蟹冻干盛宴55g55g | F=Yee Aqua-Hermit Crab Freeze-Dried Feast 55g | G=1.27 | H=3 | I=3.81
